media_id | media_name | Product_medium | Product_small
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
060D6EE6-7DED-410F-BF3311A59F9B0E8C | Beechfield JPG Sports Collection E-Shot - German | https://mediahub.beechfieldbrands.com/m/37d5da910de1fdcb/Product_medium-Beechfield-JPG-Sports-Collection-E-Shot-German.jpg | 
0CE7FFC1-0897-4EE0-9CCDF2E58F3B2ED1 | Beechfield Logo PNG | https://mediahub.beechfieldbrands.com/m/6c13cb59a34019b7/Product_medium-Beechfield-Logo-PNG.jpg | 
16564D23-87D8-47DA-A8005CC40D18C797 | PL BF Seamless E-Shot Template | https://mediahub.beechfieldbrands.com/m/201b1a6ece1bb1aa/Product_medium-PL-BF-Seamless-E-Shot-Template.jpg | 
11C282CA-BD17-4F6C-9D254D2507368ED4 | EN Bagbase-Essentials-web-banner-1920-x-600-px | https://mediahub.beechfieldbrands.com/m/3f982ee1d1312c55/Product_medium-EN-Bagbase-Essentials-web-banner-1920-x-600-px.jpg | 
1256E9DC-3B56-4ABF-8B8965B766576749 | BG PSD ports-Collection  E-Shot- English | https://mediahub.beechfieldbrands.com/m/499963c665ec585e/Product_medium-BG-PSD-ports-Collection-E-Shot-English.jpg | 
2364A253-C81D-417A-9E3E38DF75AD5BBE | CLP Logo Master PNG | https://mediahub.beechfieldbrands.com/m/2f636203d80420c4/Product_medium-CLP-Logo-Master-PNG.jpg | 
26024588-75CF-4FB2-99A64B0EE60A2F8A | Beechfield Brands 4 Logos - White | https://mediahub.beechfieldbrands.com/m/46a4777c4eeb94f1/Product_medium-Beechfield-Brands-4-Logos-White.jpg | 
257148C2-35E2-4E0A-A64F9D1AAAFB8696 | CLO Logo Bronze JPG | https://mediahub.beechfieldbrands.com/m/155585266f97329a/Product_medium-CLO-Logo-Bronze-JPG.jpg | 
25C3AB26-3FC4-4CB0-B1F94DCEE0DF3B89 | BF JPG Sports E-shot - English | https://mediahub.beechfieldbrands.com/m/520e8402868c97f3/Product_medium-BF-JPG-Sports-E-shot-English.jpg | 
26819488-350F-4B01-B5B450B1695B295E | QD JPG Sports E-shot - English | https://mediahub.beechfieldbrands.com/m/3bbec191dc943ac6/Product_medium-QD-JPG-Sports-E-shot-English.jpg | 
